par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
37,10,Four-year for-profit,42500,32400,.5177746705319787,.00066225167,.023178808,.06291391,.17218542,.23311257,.24569537,.21589404,.13311258,.1192053,.3423841,28500,32700,1510,126025,.01198175
37,11,Two-year for-profit,42500,32400,.5225792847937331,.0020325205,.010162601,.050813008,.17682926,.27032521,.22154471,.17682926,.15447155,.13211383,.38211381,30700,35800,492,42313,.011627632
37,12,Less than two-year schools of any type,42600,21800,.4054401958191023,0,0,.017699115,.097345136,.1238938,.28318584,.2300885,.26548672,.24778761,.39823008,17900,27600,113,10121,.011164905
37,13,Attending college with insufficient data,42800,30700,.4904862792738625,.0037279504,.024368066,.058101472,.14284416,.2164939,.25750136,.22604109,.15711948,.13966176,.42671394,26200,30800,10998,942344,.011670898
37,14.1,Late attender (ages 23-28),42700,22700,.4134301998330636,.00078890275,.0093353493,.024127277,.072381824,.16297416,.25258037,.30201828,.21004537,.18480048,.33732167,17800,23400,15211,1239448,.012272399
37,14.2,Never attended college (before year 2013),42700,19600,.3684508006731495,.0008565943,.0085364049,.023659725,.068941072,.14024517,.21403043,.24229804,.33448529,.31218433,.30674937,13300,24300,33855,2866578,.011810249
38,1,Ivy Plus,43900,98800,.7044459177054119,.17647059,.342246,.4224599,.56684494,.12834224,.080213904,.064171121,.16042781,.14438502,.45454544,66500,80300,187,52724,.0035467718
38,2,Other elite schools (public and private),43900,68900,.6875417770423017,.058423914,.19836956,.32336956,.48097825,.20788044,.10869566,.099184781,.10326087,.095108695,.49048916,54800,58800,736,183973,.0040005869
38,3,Highly selective public,43900,61700,.6771846734221145,.032434899,.14801279,.2640475,.44358152,.23206943,.14755596,.087711282,.089081772,.080402009,.52992237,49800,54100,2189,393548,.0055622184
38,4,Highly selective private,43900,60900,.6856519355732801,.03164557,.14082278,.2642405,.45094937,.24683544,.1107595,.11708861,.074367091,.069620252,.55221522,52300,54500,632,134098,.0047129709
38,5,Selective public,43900,43100,.5909474811602062,.0096245082,.058492612,.13115087,.27036735,.27911076,.1977091,.13772537,.11508743,.10383625,.53009355,38400,41700,14754,1944082,.0075891861
38,6,Selective private,43900,47100,.6110514119341493,.010989011,.078050159,.16117217,.31558186,.26542687,.18061425,.12454212,.11383488,.10791773,.5576219,40600,44700,3549,486852,.0072896895
38,7,Nonselective four-year public,43900,32800,.5176640571919938,.0018268176,.021191085,.059919622,.15929851,.25210086,.26013884,.18706614,.14139569,.12678115,.44135916,29900,33500,2737,257854,.010614534
38,8,Nonselective four-year private not-for-profit,43900,30400,.4813591514790028,.0020703934,.028985508,.068322986,.1552795,.19047619,.252588,.21532091,.1863354,.16563147,.51138717,25800,30800,483,55947,.0086331703
38,9,Two-year (public and private not-for-profit),43900,31700,.5012985971572406,.0025328787,.022113981,.061617147,.15733074,.23497321,.24164636,.20233804,.16371164,.14856307,.44335121,28100,32800,20530,2021451,.010156071
38,10,Four-year for-profit,43800,32600,.5100671151410692,.0033003301,.030363036,.070627064,.16435644,.23630363,.23762377,.20792079,.15379538,.13861386,.35709572,28700,33100,1515,126025,.012021424
38,11,Two-year for-profit,43800,32700,.5270258474355984,0,.014285714,.057142857,.15918368,.26734695,.25714287,.18367347,.13265306,.12244898,.42857143,31400,34900,490,42313,.011580366
38,12,Less than two-year schools of any type,43900,29800,.4720693107329008,0,.027027028,.063063063,.15315315,.1981982,.25225225,.18018018,.21621622,.21621622,.45045045,24900,33200,111,10121,.010967296
38,13,Attending college with insufficient data,44000,31000,.4929709275019162,.0025882788,.023849141,.058513585,.145868,.21926418,.2565169,.22074321,.15760769,.14170827,.43242744,26800,31100,10818,942344,.011479884
38,14.1,Late attender (ages 23-28),43900,22400,.4102209235544057,.00099767209,.0090455599,.025939474,.07502494,.15510476,.24775523,.30941138,.21270369,.18762887,.34632525,17200,22900,15035,1239448,.0121304
38,14.2,Never attended college (before year 2013),43900,19700,.3686323655131805,.0010648367,.0091398489,.023603881,.070013016,.14038096,.21068978,.24278277,.33613345,.3148959,.31155348,13300,24400,33808,2866578,.011793853
39,1,Ivy Plus,45200,85800,.7008090110391766,.096774198,.25268817,.36559141,.52688175,.1451613,.12903225,.10752688,.091397852,.086021505,.44623658,58400,63800,186,52724,.0035278052
39,2,Other elite schools (public and private),45200,78700,.7231567122815733,.065359473,.24052288,.37777779,.53594768,.19607843,.11111111,.070588231,.086274512,.078431375,.503268,59400,65500,765,183973,.0041582189
